地方政府回应数(Y),微博投诉@数(X),@回应比例,地方政府回应的投诉发帖数,投诉发帖数,投诉回应比例,污染所在地区(S),人均国内生产总值(PGDP),企业特征(Enterprise),政府部门,政府部门级别,行政区划,企业名称,法人编号,污染所在地,行政编号,总转发量(Forward_all),总评论量(Comment_all),总点赞量(Praise_all),平均转发量(Forward),平均评论量(Comment),平均点赞量(Praise),中央/上级政府关注(Position),森林覆盖率(Forest),工业发电量(Industry),年份(year),平均回应时间/秒(Diff)
1,3,0.3333,1.0,1.0,1.0,1,,,山东环境,省,山东省,浙江浙能乐清发电,77570367600,浙江省,330382,1,50,0,1.0,50.0,0.0,0.0,59.07,3197.66,2014,3571457.0
0,2,0.0,0.0,1.0,0.0,0,,,绿水青山总关情,省,湖南省,中盐华湘化工,732846263,湖南省,431003,21,3,2,21.0,3.0,2.0,0.0,47.77,1385.09,2014,0
0,2,0.0,0.0,1.0,0.0,1,,,刘帅168,省,湖南省,天津钢管制铁,700468296,天津市,120110,3,2,0,3.0,2.0,0.0,0.0,9.87,617.55,2014,0
0,2,0.0,0.0,1.0,0.0,1,,,潍坊环保,市,潍坊市,山东联盟化工股份,165681617,山东省,370783,50,8,2,50.0,8.0,2.0,0.0,16.73,5329.27,2014,0
1,22,0.0455,1.0,7.0,0.1429,1,,,扬州环保,市,江苏省扬州市,江苏华电扬州发电,714106931,江苏省,321003,6,20,1,0.8571,2.8571,0.1429,0.0,15.8,4709.37,2014,967067.0
0,5,0.0,0.0,3.0,0.0,1,,,浙江环保,省,浙江省,浙江八达金华热电,52840407,浙江省,330702,1,3,0,0.3333,1.0,0.0,0.0,59.07,3197.66,2014,0
0,2,0.0,0.0,1.0,0.0,0,,,刘帅168,省,湖南省,华菱湘潭钢铁,770052915,湖南省,430304,21,2,0,21.0,2.0,0.0,0.0,47.77,1385.09,2014,0
0,2,0.0,0.0,1.0,0.0,0,,,刘帅168,省,湖南省,中盐华湘化工,732846263,湖南省,431003,21,3,2,21.0,3.0,2.0,0.0,47.77,1385.09,2014,0
0,1,0.0,0.0,1.0,0.0,0,,,江西环保,省,江西省,江西洪城环保水业,553520970,江西省,360122,1,1,0,1.0,1.0,0.0,0.0,60.01,1085.35,2014,0
2,22,0.0909,2.0,2.0,1.0,1,,,威海环境,市,山东省威海市,华能济宁高新区热电,742445631,山东省,370000,4,100,0,2.0,50.0,0.0,0.0,16.73,5329.27,2014,3142253.0
